sequence,locale,year_month,between_lease_and_lease_deposit_ratio,lease_to_sale_ratio,monthly_rent_rate_of_return,average_lease_on_deposit_price,average_lease_on_deposit_price_per_unit,midian_lease_on_deposit_price,midian_lease_on_deposit_price_per_unit,average_monthly_rent_deposit,average_monthly_rent_price,midian_average_monthly_rent_deposit,midian_average_monthly_rent_price,average_sale_price,average_price_per_unit,midian_average_sale_price,midian_average_price_per_unit
232,daegu,2021-08,8.13,83.57,5.06,112255,2958,109547,2860,8629,502,7107,499,134779,3530,128161,3438
233,incheon,2021-08,8.2,86.69,5.12,131357,2782,127678,2535,11203,552,11513,551,152181,3185,149357,2932
234,gwangju,2021-08,7.43,83.4,6.21,79551,1960,80170,1937,7048,414,6058,409,96609,2349,91794,2196
235,daejeon,2021-08,10.35,86,6.91,93919,1968,89320,1895,9889,464,9574,474,114598,2307,105370,2197
236,ulsan,2021-08,7.9,82.38,4.31,127429,2632,125380,2643,10371,477,8096,479,156218,3192,158683,3258
237,sejong,2021-08,4.63,92.38,5.41,89714,3337,87148,3346,4198,414,4198,410,97485,3613,94298,3641
238,gyeonggi,2021-08,7.1,86.54,4.76,174049,4241,158398,4002,13500,673,9511,634,213176,4954,185595,4506
239,nationwide,2021-09,7.7,84.62,4.75,169967,4504,160697,4371,13426,670,10800,645,211740,5376,193853,5117
240,metropolitan,2021-09,7.17,85.37,4.59,183236,4955,172028,4799,14049,709,11349,681,226150,5875,206322,5589
241,province,2021-09,9.89,81.54,5.39,115130,2640,113868,2599,10853,509,8532,497,152183,3311,142320,3170
242,seoul,2021-09,6.97,83.98,4.3,204887,6182,195919,6138,15634,781,12877,747,256606,7425,240777,7239
243,seoul-downtown,2021-09,5.97,80.66,4.18,241695,6560,230794,6286,13816,953,13701,916,315242,8255,308689,7945
244,seoul-northeastern,2021-09,7.79,84.21,4.9,141010,4929,139464,4692,11182,613,11526,609,168839,5817,165264,5474
245,seoul-northwestern,2021-09,6.68,85.37,4.52,190258,6504,182409,6370,11944,771,11474,711,233749,7561,208359,7397
246,seoul-southwestern,2021-09,7.86,87.15,4.28,196563,6024,188947,6102,19625,696,13675,669,240538,6947,223957,6998
247,seoul-southeastern,2021-09,5.81,80.04,3.98,243112,6755,228656,6764,14828,928,12859,883,313970,8549,294244,8152
248,busan,2021-09,10.75,79.95,5.26,121811,2729,121130,2691,12007,533,9058,514,167351,3515,155110,3340
249,daegu,2021-09,8.11,83.71,5.06,112499,2965,109716,2872,8629,502,7107,500,134880,3531,127822,3434
250,incheon,2021-09,8.17,86.47,5.09,132661,2806,129318,2550,11227,555,11513,553,154242,3220,148453,2965
251,gwangju,2021-09,7.41,83.53,6.22,79771,1964,80245,1941,7061,415,6030,410,96860,2349,91944,2197
252,daejeon,2021-09,10.35,85.85,6.9,93991,1969,89320,1895,9889,465,9574,475,115123,2314,105727,2202
253,ulsan,2021-09,7.97,82.65,4.31,128095,2642,126313,2661,10553,477,8412,479,156524,3191,157816,3252
254,sejong,2021-09,4.61,92.48,5.4,89971,3348,87619,3354,4198,414,4198,410,97657,3620,94534,3641
255,gyeonggi,2021-09,7.06,86.6,4.75,175498,4269,158957,4017,13177,678,9511,648,215532,4988,186182,4573
256,nationwide,2021-10,7.71,84.58,4.74,170660,4518,161321,4376,13578,670,10800,643,213128,5398,194292,5128
257,metropolitan,2021-10,7.19,85.31,4.58,184033,4971,172660,4805,14234,709,11349,678,227712,5901,206564,5600
258,province,2021-10,9.89,81.52,5.39,115388,2644,114457,2603,10866,510,8532,497,152854,3318,143574,3178
259,seoul,2021-10,6.95,83.96,4.29,205598,6199,196773,6142,15634,781,12877,747,257958,7450,241691,7260
260,seoul-downtown,2021-10,5.94,80.75,4.18,242885,6589,231536,6295,13816,955,13701,917,316742,8284,310129,7953
261,seoul-northeastern,2021-10,7.77,84.21,4.89,141356,4936,139575,4694,11182,613,11526,609,169405,5827,165570,5475
262,seoul-northwestern,2021-10,6.68,85.37,4.52,190332,6505,182490,6374,11939,772,11474,711,233882,7563,208412,7399
263,seoul-southwestern,2021-10,7.83,87.14,4.26,197438,6047,189133,6110,19626,696,13675,669,242342,6977,224607,7012
264,seoul-southeastern,2021-10,5.8,79.96,3.97,243922,6774,231195,6764,14828,928,12859,884,315631,8584,296050,8208
265,busan,2021-10,10.74,79.89,5.26,122083,2732,121953,2695,12012,533,9058,514,168227,3524,156880,3352
266,daegu,2021-10,8.11,83.87,5.07,112660,2969,109716,2873,8629,503,7107,500,134845,3530,127992,3431
267,incheon,2021-10,8.12,86.41,5.06,133749,2825,130947,2569,11227,556,11513,553,155671,3246,149464,2986
268,gwangju,2021-10,7.44,83.55,6.21,79971,1967,80514,1944,7121,415,6030,411,97217,2353,92470,2194
269,daejeon,2021-10,10.34,85.76,6.88,94140,1972,89471,1895,9889,465,9574,471,115688,2322,106128,2212
270,ulsan,2021-10,7.98,82.84,4.31,128621,2650,126651,2668,10627,477,8412,479,156977,3192,158003,3258
271,sejong,2021-10,4.61,92.52,5.4,90099,3351,87619,3382,4198,415,4198,410,97743,3623,94534,3641
272,gyeonggi,2021-10,7.15,86.51,4.74,176296,4283,158986,4021,13643,678,9511,640,217383,5014,185375,4568
273,nationwide,2021-11,7.64,84.52,4.73,171489,4535,162112,4390,13507,672,10800,648,214895,5426,195788,5151
274,metropolitan,2021-11,7.1,85.24,4.57,184984,4991,173615,4820,14144,712,11349,684,229722,5935,208210,5625
275,province,2021-11,9.88,81.56,5.39,115714,2648,114570,2612,10877,510,8532,498,153613,3323,144451,3188
276,seoul,2021-11,6.94,83.9,4.28,206394,6219,197386,6149,15773,781,12877,748,259593,7482,243131,7280
277,seoul-downtown,2021-11,5.93,80.83,4.17,243990,6614,232268,6297,13816,956,13701,917,318053,8310,310390,7941
278,seoul-northeastern,2021-11,7.74,84.25,4.87,141978,4955,140264,4699,11182,614,11526,609,170101,5845,165739,5490
279,seoul-northwestern,2021-11,6.67,85.42,4.52,190843,6517,182901,6380,11939,772,11474,711,234612,7574,208850,7409
280,seoul-southwestern,2021-11,7.85,87.03,4.25,198238,6064,189478,6112,20001,695,13675,670,244192,7008,226717,7027
281,seoul-southeastern,2021-11,5.77,79.81,3.95,244831,6800,232187,6780,14828,929,12859,884,317981,8638,298095,8252
282,busan,2021-11,10.74,79.89,5.26,122453,2735,121953,2709,12013,534,9058,515,169250,3532,158125,3364
283,daegu,2021-11,8.09,84,5.07,112774,2972,109819,2866,8629,503,7107,500,134818,3528,127992,3431
284,incheon,2021-11,8.08,86.41,5.05,134839,2843,131866,2598,11227,558,11513,553,156984,3267,150027,3014
285,gwangju,2021-11,7.47,83.53,6.2,80177,1970,81139,1954,7135,416,6030,413,97571,2357,93039,2199
286,daejeon,2021-11,10.35,85.74,6.88,94326,1975,89623,1896,10003,465,9574,471,116234,2329,106472,2228
287,ulsan,2021-11,7.94,83.15,4.31,129228,2660,127328,2669,10627,477,8412,479,157340,3192,157926,3258
288,sejong,2021-11,4.6,92.67,5.4,90285,3359,87619,3382,4198,415,4198,410,97800,3624,94534,3641
289,gyeonggi,2021-11,6.94,86.38,4.74,177378,4304,160353,4038,13254,683,9511,655,220073,5053,187636,4600
290,nationwide,2021-12,7.64,84.5,4.73,171889,4544,162555,4396,13609,673,10804,649,215810,5441,196045,5166
291,metropolitan,2021-12,7.1,85.2,4.56,185437,5002,174132,4827,14264,712,11349,685,230746,5952,208472,5643
292,province,2021-12,9.88,81.6,5.39,115895,2652,114703,2615,10900,511,8554,498,154081,3329,144682,3195
293,seoul,2021-12,6.97,83.84,4.27,206921,6232,197666,6156,16014,781,12877,748,260860,7506,243765,7297
294,seoul-downtown,2021-12,5.91,80.92,4.17,244760,6634,232934,6300,13816,957,13701,919,318692,8325,310921,7941
295,seoul-northeastern,2021-12,7.72,84.28,4.87,142220,4963,140337,4699,11182,614,11526,609,170400,5853,166739,5512
296,seoul-northwestern,2021-12,6.65,85.46,4.51,191400,6529,183313,6380,11939,772,11474,712,235485,7585,209911,7421
297,seoul-southwestern,2021-12,7.95,86.93,4.23,198846,6077,189901,6117,20654,694,13675,669,245715,7033,227358,7032
298,seoul-southeastern,2021-12,5.76,79.66,3.93,245294,6816,232187,6800,14828,930,12859,885,319793,8674,298370,8291
299,busan,2021-12,10.74,79.9,5.27,122585,2739,121953,2710,12021,535,9058,516,169839,3538,158430,3370
300,daegu,2021-12,8.09,84.15,5.08,112866,2975,109869,2867,8629,503,7107,500,134724,3525,127822,3430
301,incheon,2021-12,8.11,86.4,5.04,135528,2855,132095,2609,11311,558,11513,553,157880,3283,151030,3037
302,gwangju,2021-12,7.5,83.51,6.2,80336,1971,81633,1968,7205,416,6086,415,97828,2359,93402,2211
303,daejeon,2021-12,10.32,85.92,6.88,94782,1982,90003,1910,10061,465,9574,470,116878,2337,106800,2235
304,ulsan,2021-12,8.01,83.33,4.31,129728,2669,128253,2670,10750,477,8705,479,157608,3194,157870,3271
305,sejong,2021-12,4.59,92.58,5.39,90414,3364,87619,3396,4198,415,4198,410,98014,3633,94534,3663
306,gyeonggi,2021-12,6.91,86.38,4.74,177664,4311,161246,4044,13246,685,9511,658,220858,5066,187209,4615
307,nationwide,2022-01,7.58,84.57,4.73,172122,4551,162801,4404,13379,674,10761,650,216076,5446,196412,5171
308,metropolitan,2022-01,7.02,85.27,4.57,185717,5010,174418,4837,13977,714,11290,686,231043,5958,208883,5653
309,province,2022-01,9.88,81.66,5.4,115933,2653,114787,2613,10910,511,8576,499,154220,3329,144871,3181
310,seoul,2022-01,6.94,83.9,4.27,207321,6244,198004,6173,15954,782,12877,748,261271,7514,244229,7309
311,seoul-downtown,2022-01,5.9,81.03,4.17,245264,6645,234308,6307,13816,958,13701,921,319035,8331,311424,7941
312,seoul-northeastern,2022-01,7.7,84.37,4.86,142537,4974,140596,4717,11183,615,11526,609,170576,5861,166746,5572
313,seoul-northwestern,2022-01,6.65,85.5,4.51,191594,6535,183313,6414,11939,773,11474,712,235688,7589,210066,7425
314,seoul-southwestern,2022-01,7.89,86.92,4.23,199116,6084,190232,6133,20492,695,13675,670,246223,7042,228310,7036
315,seoul-southeastern,2022-01,5.74,79.79,3.93,245974,6837,232382,6813,14828,931,12859,885,320313,8686,298537,8298
316,busan,2022-01,10.74,79.93,5.27,122591,2740,122020,2703,12029,535,9091,517,170053,3540,158771,3352
317,daegu,2022-01,8.09,84.28,5.09,112944,2977,109869,2874,8629,503,7107,500,134597,3522,127773,3433
318,incheon,2022-01,8.06,86.58,5.05,135810,2860,132935,2621,11275,559,11513,555,157981,3280,151520,3025
319,gwangju,2022-01,7.5,83.5,6.19,80387,1970,81683,1968,7219,416,6086,416,97886,2359,93558,2214
320,daejeon,2022-01,10.31,86.13,6.89,94841,1984,90154,1915,10061,465,9574,470,116797,2334,106800,2228
321,ulsan,2022-01,8.03,83.47,4.31,130003,2673,128634,2673,10811,477,8705,480,157854,3192,157244,3242
322,sejong,2022-01,4.59,92.58,5.39,90414,3364,87619,3396,4198,415,4198,410,98014,3633,94534,3663
323,gyeonggi,2022-01,6.75,86.42,4.75,177805,4315,161278,4046,12607,688,9364,659,221088,5071,187530,4632
324,nationwide,2022-02,7.57,84.63,4.73,172329,4557,163015,4405,13384,675,10761,650,216245,5449,196749,5180
325,metropolitan,2022-02,7.01,85.35,4.57,185980,5018,174694,4841,13984,714,11290,686,231240,5962,209323,5660
326,province,2022-02,9.88,81.64,5.4,115907,2652,114744,2606,10906,511,8576,500,154269,3328,144782,3197
327,seoul,2022-02,6.93,84.02,4.27,207729,6256,198518,6165,15968,783,12877,748,261581,7518,244209,7306
328,seoul-downtown,2022-02,5.9,81.1,4.17,245789,6657,234773,6312,13816,958,13701,921,319348,8337,312229,7948
329,seoul-northeastern,2022-02,7.7,84.49,4.87,142752,4981,140743,4717,11199,615,11526,609,170617,5861,166778,5572
330,seoul-northwestern,2022-02,6.65,85.52,4.52,191665,6529,184298,6365,11939,773,11474,712,235897,7584,208560,7344
331,seoul-southwestern,2022-02,7.88,87,4.23,199510,6093,190516,6118,20524,695,13675,670,246752,7050,228683,7082
332,seoul-southeastern,2022-02,5.73,80.02,3.93,246619,6864,233191,6825,14828,932,12859,885,320507,8690,298370,8260
333,busan,2022-02,10.74,79.88,5.27,122519,2738,121916,2692,12026,535,9091,517,170127,3539,158771,3378
334,daegu,2022-02,8.08,84.36,5.09,112965,2978,109869,2873,8629,504,7107,500,134487,3518,127773,3425
335,incheon,2022-02,8.07,86.61,5.05,135635,2857,132444,2624,11275,559,11513,556,157795,3275,151774,3038
336,gwangju,2022-02,7.47,83.51,6.19,80410,1969,81733,1969,7173,416,6086,417,97942,2357,93328,2216
337,daejeon,2022-02,10.31,86.15,6.89,94888,1984,90117,1918,10061,465,9574,470,116779,2333,106189,2225
338,ulsan,2022-02,8.03,83.52,4.32,130200,2676,129015,2681,10827,478,8705,481,158012,3194,156924,3243
339,sejong,2022-02,4.59,92.58,5.39,90414,3364,87619,3396,4198,415,4198,410,98014,3633,94534,3663
340,gyeonggi,2022-02,6.73,86.47,4.75,178049,4323,161544,4064,12607,688,9364,659,221287,5078,188571,4649
341,nationwide,2022-03,7.58,84.69,4.73,172590,4565,163445,4417,13397,675,10761,651,216526,5453,196970,5194
342,metropolitan,2022-03,7.01,85.42,4.57,186302,5028,175160,4855,13993,715,11290,687,231607,5968,209716,5678
343,province,2022-03,9.92,81.7,5.4,115918,2651,115023,2607,10935,511,8576,500,154197,3325,144291,3198
344,seoul,2022-03,6.92,84.08,4.27,208255,6272,199181,6186,15982,783,12877,750,262271,7531,245102,7330
345,seoul-downtown,2022-03,5.9,81.15,4.17,246474,6668,236995,6329,13816,959,13701,921,320455,8352,317915,7936
346,seoul-northeastern,2022-03,7.69,84.58,4.86,143151,4994,141365,4750,11199,615,11526,609,170951,5872,167317,5596
347,seoul-northwestern,2022-03,6.64,85.64,4.52,192175,6546,184754,6372,11939,773,11474,713,236283,7591,210185,7309
348,seoul-southwestern,2022-03,7.87,87.06,4.23,199873,6104,190516,6118,20560,696,13675,670,247287,7059,228772,7134
349,seoul-southeastern,2022-03,5.71,80.04,3.93,247385,6889,234343,6873,14828,933,12859,890,321593,8711,298569,8283
350,busan,2022-03,10.76,79.94,5.28,122526,2736,122288,2692,12024,535,9091,518,170045,3536,158023,3380
351,daegu,2022-03,8.08,84.5,5.1,112995,2979,109869,2873,8629,504,7107,500,134330,3513,127773,3421
352,incheon,2022-03,8.15,86.63,5.05,135756,2857,132891,2624,11295,559,11513,556,157854,3275,152354,3061
353,gwangju,2022-03,7.79,83.55,6.19,80484,1969,82514,1980,7583,415,6086,416,98004,2356,93471,2215
354,daejeon,2022-03,10.32,86.14,6.9,94829,1983,90117,1918,10061,465,9574,470,116710,2331,106131,2216
355,ulsan,2022-03,8.02,83.56,4.32,130258,2677,128689,2681,10827,478,8705,481,158020,3194,156789,3248
356,sejong,2022-03,4.59,92.58,5.39,90392,3363,87619,3396,4198,415,4198,410,97993,3632,94534,3663
357,gyeonggi,2022-03,6.73,86.56,4.75,178202,4329,161787,4075,12607,689,9364,659,221384,5079,188315,4657
358,nationwide,2022-04,7.58,84.73,4.74,172714,4568,163344,4424,13397,676,10754,651,216667,5455,197403,5196
359,metropolitan,2022-04,7.01,85.46,4.58,186479,5033,175075,4863,13998,716,11290,688,231807,5972,210237,5684
360,province,2022-04,9.92,81.71,5.41,115822,2648,114860,2608,10909,511,8539,501,154091,3320,144360,3178
361,seoul,2022-04,6.93,84.09,4.27,208553,6279,199195,6186,15999,784,12877,751,262730,7539,245582,7334
362,seoul-downtown,2022-04,5.89,81.07,4.17,246823,6675,237093,6349,13816,960,13701,922,321673,8379,319684,7954
363,seoul-northeastern,2022-04,7.67,84.59,4.86,143287,4998,141365,4752,11187,616,11526,609,171087,5877,167765,5566
364,seoul-northwestern,2022-04,6.65,85.69,4.53,192284,6542,184949,6376,11939,773,11474,715,236329,7584,210447,7310
365,seoul-southwestern,2022-04,7.9,87.1,4.23,200139,6111,190516,6116,20612,697,13675,670,247649,7064,228784,7150
366,seoul-southeastern,2022-04,5.7,80.04,3.93,247878,6904,234272,6869,14828,935,12859,892,322283,8727,299367,8287
367,busan,2022-04,10.77,79.93,5.29,122396,2732,122008,2692,12022,535,9091,518,169921,3531,158145,3353
368,daegu,2022-04,8.08,84.64,5.12,112959,2978,109869,2873,8629,504,7107,500,134098,3505,127587,3412
369,incheon,2022-04,8.14,86.72,5.07,135725,2856,132636,2626,11287,560,11513,556,157719,3272,152465,3051
370,gwangju,2022-04,7.7,83.62,6.21,80519,1969,82776,1986,7243,416,5585,420,98111,2355,93597,2216
371,daejeon,2022-04,10.34,86.06,6.91,94703,1979,89965,1916,10061,465,9574,470,116615,2328,106131,2206
372,ulsan,2022-04,8.02,83.55,4.32,130251,2676,128879,2681,10827,478,8705,481,158019,3194,156789,3251
373,sejong,2022-04,4.59,92.63,5.39,90457,3365,87619,3396,4198,415,4198,410,98014,3633,94534,3663
374,gyeonggi,2022-04,6.72,86.62,4.76,178311,4333,161644,4095,12604,690,9364,659,221398,5079,189026,4671
375,nationwide,2022-05,7.56,84.74,4.74,172911,4573,163537,4432,13374,677,10754,653,216933,5461,197477,5212
376,metropolitan,2022-05,7,85.46,4.58,186736,5040,175373,4873,13985,717,11290,689,232181,5981,210329,5704
377,province,2022-05,9.9,81.74,5.42,115772,2645,114618,2608,10850,511,8539,501,153913,3314,144360,3178
378,seoul,2022-05,6.91,84.07,4.27,208932,6290,199637,6196,15980,786,12877,752,263331,7554,245520,7367
379,seoul-downtown,2022-05,5.89,81.08,4.18,247366,6689,237427,6352,13864,962,13701,924,322471,8396,320010,7979
380,seoul-northeastern,2022-05,7.67,84.54,4.86,143441,5003,141365,4754,11187,617,11526,611,171382,5887,167765,5566
381,seoul-northwestern,2022-05,6.64,85.56,4.52,192424,6548,185898,6376,11939,774,11474,715,236705,7603,210606,7312
382,seoul-southwestern,2022-05,7.87,87.07,4.23,200476,6120,190765,6119,20550,698,13675,670,248199,7075,228343,7195
383,seoul-southeastern,2022-05,5.69,80.06,3.93,248486,6920,234998,6899,14828,937,12859,895,323148,8744,299553,8338
384,busan,2022-05,10.79,79.94,5.3,122325,2728,121638,2693,12020,535,9091,518,169697,3523,158212,3353
385,daegu,2022-05,8.08,84.75,5.12,112929,2977,109869,2873,8629,504,7107,500,133879,3499,127418,3412
386,incheon,2022-05,8.12,86.77,5.08,135694,2855,132388,2620,11256,561,11513,557,157628,3269,152419,3048
387,gwangju,2022-05,7.31,83.76,6.23,80602,1971,83014,1987,6461,420,5585,426,98132,2352,93835,2225
388,daejeon,2022-05,10.35,86.1,6.92,94625,1977,89755,1916,10061,465,9574,470,116506,2325,105769,2200
389,ulsan,2022-05,8.02,83.56,4.32,130244,2676,128879,2681,10827,478,8705,481,157999,3194,156598,3251
390,sejong,2022-05,4.59,92.63,5.39,90457,3365,87619,3396,4198,415,4198,410,98014,3633,94534,3663
391,gyeonggi,2022-05,6.72,86.64,4.77,178527,4340,161964,4110,12604,692,9364,662,221667,5085,189347,4685
392,nationwide,2022-06,7.56,84.78,4.75,173099,4579,163738,4436,13379,678,10754,654,217133,5466,197697,5222
393,metropolitan,2022-06,7,85.5,4.59,186985,5048,175621,4879,13992,719,11290,691,232453,5987,210604,5716
394,province,2022-06,9.91,81.76,5.43,115705,2643,114625,2607,10848,511,8539,501,153816,3311,144353,3176
395,seoul,2022-06,6.9,84.09,4.27,209266,6300,199844,6205,15987,787,12877,755,263804,7566,245944,7384
396,seoul-downtown,2022-06,5.9,81.17,4.18,247759,6701,237907,6357,13914,964,13701,926,322820,8404,320429,8000
397,seoul-northeastern,2022-06,7.66,84.58,4.87,143535,5007,141365,4754,11187,618,11526,612,171430,5888,167811,5566
398,seoul-northwestern,2022-06,6.63,85.54,4.52,192672,6559,185898,6394,11939,775,11474,715,237062,7617,210606,7361
399,seoul-southwestern,2022-06,7.87,87.09,4.24,200720,6126,190813,6120,20556,700,13675,673,248563,7082,228963,7189
400,seoul-southeastern,2022-06,5.67,80.08,3.93,249085,6939,235535,6922,14828,939,12859,900,324079,8770,300104,8376
401,busan,2022-06,10.79,79.95,5.3,122240,2725,121699,2692,12017,535,9091,518,169593,3519,158212,3353
402,daegu,2022-06,8.09,84.8,5.13,112870,2975,109803,2871,8629,504,7107,500,133646,3493,127265,3400
403,incheon,2022-06,8.14,86.75,5.09,135538,2851,132675,2617,11271,561,11513,556,157468,3265,152533,3039
404,gwangju,2022-06,7.31,83.88,6.25,80612,1971,83070,1981,6461,420,5585,427,98151,2348,93954,2219
405,daejeon,2022-06,10.36,86.08,6.93,94563,1976,89393,1914,10061,465,9574,470,116478,2324,105769,2195
406,ulsan,2022-06,8.02,83.56,4.32,130212,2676,128879,2681,10827,478,8705,481,157947,3193,156598,3251
407,sejong,2022-06,4.59,92.69,5.39,90521,3368,87619,3396,4198,416,4198,412,98014,3633,94534,3663
408,gyeonggi,2022-06,6.71,86.72,4.78,178816,4348,162245,4114,12606,693,9364,664,221856,5090,189503,4700
409,nationwide,2022-07,7.55,84.83,4.76,173147,4582,163811,4437,13323,680,10797,656,217178,5467,197493,5224
410,metropolitan,2022-07,6.97,85.56,4.6,187087,5052,175722,4879,13924,721,11349,693,232590,5990,210259,5720
411,province,2022-07,9.91,81.79,5.44,115535,2640,114585,2608,10839,512,8517,502,153483,3305,144733,3174
412,seoul,2022-07,6.89,84.13,4.28,209504,6308,200134,6201,15983,789,12877,757,264056,7572,246182,7379
413,seoul-downtown,2022-07,5.9,81.07,4.19,247721,6698,238261,6360,13914,966,13701,926,323118,8410,320946,8019
414,seoul-northeastern,2022-07,7.65,84.76,4.89,143768,5016,141411,4753,11194,620,11526,614,171362,5885,166908,5567
415,seoul-northwestern,2022-07,6.63,85.63,4.52,192935,6570,185949,6385,11964,776,11474,717,237188,7621,210760,7365
416,seoul-southwestern,2022-07,7.85,87.11,4.24,200865,6130,191189,6111,20533,700,13675,674,248740,7085,229433,7169
417,seoul-southeastern,2022-07,5.66,80.11,3.93,249533,6953,235919,6922,14828,941,12859,904,324640,8786,300553,8378
418,busan,2022-07,10.78,79.99,5.32,122025,2722,121693,2694,12003,536,9058,519,169137,3512,158797,3351
419,daegu,2022-07,8.1,84.79,5.15,112692,2970,109749,2872,8629,505,7107,501,133455,3489,127166,3396
420,incheon,2022-07,8.14,86.84,5.11,135434,2849,132458,2612,11271,562,11513,557,157235,3260,152164,3024
421,gwangju,2022-07,7.31,83.8,6.25,80653,1970,83070,1981,6461,420,5585,427,98203,2349,94078,2231
422,daejeon,2022-07,10.36,86.14,6.93,94443,1975,89040,1905,10061,465,9574,470,116355,2323,105727,2176
423,ulsan,2022-07,8.03,83.62,4.33,130167,2675,129015,2690,10833,479,8705,482,157827,3190,156734,3248
424,sejong,2022-07,4.59,92.71,5.4,90478,3366,87148,3396,4198,416,4198,412,97950,3631,94298,3654
425,gyeonggi,2022-07,6.67,86.78,4.79,178829,4351,162236,4123,12443,696,9511,666,221986,5090,188487,4718
426,nationwide,2022-08,7.54,84.87,4.78,173098,4583,163825,4444,13275,682,10797,657,217076,5464,197439,5240
427,metropolitan,2022-08,6.96,85.61,4.61,187065,5054,175849,4892,13864,722,11349,695,232511,5988,210320,5741
428,province,2022-08,9.93,81.81,5.46,115372,2635,114133,2591,10839,513,8517,502,153281,3299,144203,3169
429,seoul,2022-08,6.89,84.17,4.28,209597,6311,200269,6214,15984,790,12877,759,264122,7572,246105,7379
430,seoul-downtown,2022-08,5.9,81.12,4.2,247817,6703,238362,6360,13914,969,13701,927,323377,8416,320391,8009
431,seoul-northeastern,2022-08,7.65,84.88,4.9,143862,5018,141788,4786,11194,622,11526,614,171240,5880,166921,5567
432,seoul-northwestern,2022-08,6.64,85.64,4.53,192960,6569,185976,6387,11973,778,11474,720,237255,7621,211591,7319
433,seoul-southwestern,2022-08,7.85,87.12,4.24,200853,6131,191097,6114,20516,701,13675,675,248728,7084,229011,7165
434,seoul-southeastern,2022-08,5.67,80.15,3.94,249799,6960,236302,6946,14852,942,12859,909,324842,8790,300636,8406
435,busan,2022-08,10.81,80.02,5.33,121839,2717,121022,2671,12004,536,9058,519,168905,3505,158016,3348
436,daegu,2022-08,8.12,84.81,5.17,112382,2962,109667,2869,8629,506,7107,502,133078,3480,127083,3382
437,incheon,2022-08,8.15,86.87,5.13,135245,2844,132344,2610,11271,562,11513,552,156989,3254,152049,3022
438,gwangju,2022-08,7.3,83.8,6.26,80592,1969,83057,1974,6442,420,5585,427,98138,2347,93966,2223
439,daejeon,2022-08,10.37,86.14,6.94,94464,1975,89098,1902,10061,465,9574,470,116391,2323,105806,2178
440,ulsan,2022-08,8.05,83.66,4.34,130087,2674,128857,2686,10839,479,8705,483,157701,3187,156560,3247
441,sejong,2022-08,4.59,92.71,5.4,90435,3364,87148,3395,4198,416,4198,412,97907,3629,94298,3654
442,gyeonggi,2022-08,6.63,86.86,4.81,178731,4353,162437,4141,12290,699,9511,669,221798,5088,188770,4774
443,nationwide,2022-09,7.55,84.9,4.79,172925,4578,163761,4441,13284,683,10797,658,216816,5458,197021,5226
444,metropolitan,2022-09,6.98,85.64,4.63,186898,5050,175840,4888,13878,724,11349,696,232262,5982,209870,5727
445,province,2022-09,9.93,81.84,5.47,115175,2630,113836,2590,10825,513,8517,502,152978,3291,143916,3156
446,seoul,2022-09,6.91,84.19,4.29,209500,6307,200162,6205,16008,791,12877,760,263947,7566,245846,7358
447,seoul-downtown,2022-09,5.9,81.22,4.21,247892,6705,239053,6353,13934,971,13701,927,323123,8407,319539,7993
448,seoul-northeastern,2022-09,7.65,85.03,4.92,143845,5017,141775,4837,11194,622,11526,615,170954,5868,166102,5482
449,seoul-northwestern,2022-09,6.65,85.62,4.56,192551,6555,185911,6386,11973,780,11474,724,236877,7608,210655,7273
450,seoul-southwestern,2022-09,7.86,87.11,4.25,200780,6127,191055,6098,20516,701,13675,676,248577,7079,229268,7166
451,seoul-southeastern,2022-09,5.7,80.15,3.94,249715,6957,235770,6914,14932,943,12859,910,324815,8789,300479,8400
452,busan,2022-09,10.81,80.05,5.35,121573,2710,120604,2672,11984,537,9058,520,168506,3495,157644,3329
453,daegu,2022-09,8.13,84.85,5.19,112183,2958,109564,2862,8629,506,7107,502,132777,3472,126761,3372
454,incheon,2022-09,8.18,86.86,5.15,134868,2837,132496,2612,11283,563,11513,553,156664,3245,151896,3022
455,gwangju,2022-09,7.31,83.78,6.26,80512,1967,82639,1968,6441,420,5585,427,98060,2345,93522,2228
456,daejeon,2022-09,10.4,86.2,6.95,94597,1976,89305,1895,10061,465,9574,469,116456,2322,106034,2168
457,ulsan,2022-09,8.05,83.68,4.35,129960,2671,128857,2684,10839,479,8705,483,157547,3183,156605,3251
458,sejong,2022-09,4.59,92.74,5.4,90435,3364,87148,3395,4198,416,4198,412,97864,3628,94298,3654
459,gyeonggi,2022-09,6.64,86.89,4.83,178556,4350,162487,4141,12294,701,9511,670,221486,5082,187995,4762
460,nationwide,2022-10,7.7,84.91,4.81,172660,4572,163472,4436,13511,683,10845,658,216437,5449,196623,5216
461,metropolitan,2022-10,7.19,85.66,4.64,186653,5043,175558,4884,14187,724,11408,696,231901,5973,209460,5717
462,province,2022-10,9.79,81.84,5.5,114828,2623,113520,2588,10720,514,8517,505,152523,3282,143567,3144
463,seoul,2022-10,6.92,84.22,4.31,209245,6299,199844,6201,16008,792,12877,762,263613,7556,245573,7341
464,seoul-downtown,2022-10,5.91,81.29,4.23,247639,6698,239040,6353,13934,972,13701,928,322732,8393,318290,7955
465,seoul-northeastern,2022-10,7.67,85.09,4.96,143562,5006,141652,4812,11194,624,11526,619,170550,5852,165602,5474
